Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
2.972548,1.510808349,19.52415276,-7.401941299,20.93475144
2.982537,1.352566123,19.19420433,-7.759907246,20.74760409
2.992526,1.350817442,18.40784836,-8.106661797,20.1591556
3.002515,1.504999042,17.58953857,-8.341785431,19.52542633
3.012504,1.914274931,16.93186378,-8.478462219,19.03251905
3.022493,2.604557753,16.27598,-8.562048912,18.57417367
3.032482,3.49575305,15.24835968,-8.426074028,17.76883468
3.042471,4.416986465,13.62591839,-7.99025774,16.4018182
3.05246,5.205118179,11.14372826,-7.170164585,14.23682531
3.06245,5.53502512,7.864294052,-5.961056232,11.31449581
3.072439,5.352243423,4.70543623,-4.550141811,8.455260509
3.082428,5.065781593,2.341447353,-3.281956434,6.474237939
3.092417,4.826331615,0.235642686,-2.254002571,5.331935102
3.102406,4.530929089,-1.658524752,-1.320646286,5.002412355
3.112395,3.962697744,-2.615785837,-0.324620873,4.75927386
3.122384,3.03985405,-2.994604826,0.662390709,4.318232527
3.132373,2.091067076,-3.526622772,1.69625783,4.436994514
3.142362,1.015805125,-4.5554533,2.789625883,5.437465162
3.152351,-0.04213915,-5.652592182,3.937598228,6.88899513
3.16234,-0.778417826,-6.588433266,4.9981637,8.306324553
3.172329,-1.064423442,-7.456646442,5.756659508,9.480174161
3.182318,-0.959315479,-8.154127121,6.166184425,10.26800398
3.192307,-0.62220031,-8.706658363,6.374406815,10.80861209
3.202296,-0.127973258,-9.279759407,6.610920429,11.39449783
3.212285,0.280301839,-9.774939537,6.963428497,12.00488853
3.222274,0.625500858,-10.45039845,7.491789341,12.87357707
3.232263,0.913905978,-11.54153538,8.203871727,14.18963616
3.242252,1.155119419,-12.91956615,8.945861816,15.75683769
3.252241,1.414947867,-14.52133179,9.571648598,17.44957338
3.26223,1.730017304,-16.13928986,9.950295448,19.03885544
3.272219,2.023581743,-17.08396149,9.859629631,19.82848758
3.282209,2.200178862,-17.18935585,9.214920998,19.62726447
3.292198,2.007472038,-16.64370537,8.20644474,18.66517098
3.302187,1.688285828,-16.06358147,7.264632702,17.7105575
3.312176,1.367425561,-15.55400562,6.495792866,16.91130594
